House Number,Street,First Name,Surname,Age,Relationship to Head of House,Marital Status,Gender,Occupation,Infirmity,Religion
60,Elliott Lane,Andrew,Davison,58,Head,Single,Male,"Journalist, magazine",None,None
61,Elliott Lane,Sara,Stanley,70,Head,Widowed,Female,Retired Retail merchandiser,None,Christian
62,Elliott Lane,Ruth,Wood,48,Head,Single,Female,Interior and spatial designer,None,None
62,Elliott Lane,Jemma,Wilson,24,None,Single,Female,Textile designer,None,None
63,Elliott Lane,Terry,Martin,43,Head,Divorced,Male,Speech and language therapist,None,Christian
63,Elliott Lane,Nicholas,Martin,15,Son,NA,Male,Student,None,NA
63,Elliott Lane,Carl,Martin,13,Son,NA,Male,Student,None,NA
64,Elliott Lane,Amy,Long,79,Head,Married,Female,Retired Historic buildings inspector/conservation officer,None,Christian
64,Elliott Lane,Rhys,Long,78,Husband,Married,Male,Retired Estate manager/land agent,None,None
65,Elliott Lane,Pamela,Begum,46,Head,Single,Female,IT technical support officer,None,Muslim
66,Elliott Lane,Toby,Hill,26,Head,Single,Male,Comptroller,None,None
67,Elliott Lane,Craig,White,53,Head,Married,Male,Stage manager,None,Christian
67,Elliott Lane,Jean,White,49,Wife,Married,Female,"Conservation officer, historic buildings",None,None
68,Elliott Lane,Danny,Price,86,Head,Widowed,Male,Retired Naval architect,None,None
69,Elliott Lane,Shaun,Reynolds,75,Head,Widowed,Male,Retired Production manager,None,Catholic
69,Elliott Lane,Lewis,Shepherd,3,Grandson,NA,Male,Child,None,NA
70,Elliott Lane,Christine,Kennedy,45,Head,Divorced,Female,Fisheries officer,None,Methodist
71,Elliott Lane,Gareth,Thompson,87,Head,Widowed,Male,Retired Product manager,None,None
72,Elliott Lane,Darren,Elliott,64,Head,Single,Male,Unemployed,None,None
73,Elliott Lane,Jayne,Jones,48,Head,Single,Female,"Therapist, sports",None,Catholic
74,Elliott Lane,Lynda,Watson,47,Head,Single,Female,Television floor manager,None,Christian
74,Elliott Lane,Lynda,Watson,6,Granddaughter,NA,Female,Student,None,NA
74,Elliott Lane,Keith,Watson,4,Grandson,NA,Male,Child,None,NA
75,Elliott Lane,Reece,Donnelly,68,Head,Single,Male,Retired Drilling engineer,None,Christian
76,Elliott Lane,Daniel,Wade,28,Head,Single,Male,Magazine journalist,None,None
77,Elliott Lane,Ricky,Fisher,56,Head,Single,Male,Unemployed,None,None
78,Elliott Lane,Louis,Taylor,49,Head,Single,Male,"Psychologist, prison and probation services",None,None
78,Elliott Lane,Louise,Johnson,46,Partner,Single,Female,Travel agency manager,None,None
79,Elliott Lane,Mandy,Gardiner,33,Head,Single,Female,Unemployed,None,Methodist
80,Elliott Lane,Sam,Murray,68,Head,Divorced,Male,Retired Press photographer,None,Catholic
81,Elliott Lane,Aimee,Potts,18,Head,Divorced,Female,Student,None,NA
82,Elliott Lane,Carly,Dale,58,Head,Single,Female,Unemployed,None,Christian
83,Elliott Lane,Thomas,Williams,39,Head,Single,Male,Water engineer,None,Catholic
84,Elliott Lane,Denise,Khan,35,Head,Single,Female,"Copywriter, advertising",None,Catholic
85,Elliott Lane,Glen,Clarke,24,Head,Single,Male,Marine scientist,None,Christian
86,Elliott Lane,Ruth,Lee,82,Head,Widowed,Female,Retired Health promotion specialist,None,None
87,Elliott Lane,Catherine,Davies,78,Head,Single,Female,Retired Commercial art gallery manager,None,Catholic
88,Elliott Lane,Vincent,Hughes,80,Head,Married,Male,Unemployed,None,Christian
88,Elliott Lane,Katherine,Hughes,80,Wife,Married,Female,Retired Sales executive,None,Christian
89,Elliott Lane,Chloe,Saunders,71,Head,Widowed,Female,"Retired Education officer, community",None,Christian
90,Elliott Lane,Leah,Taylor,67,Head,Divorced,Female,Graphic designer,None,Christian
91,Elliott Lane,Amy,Shepherd,31,Head,Single,Female,Air broker,None,None
91,Elliott Lane,Stephanie,Shepherd,1,Daughter,NA,Female,Child,None,NA
91,Elliott Lane,Rosemary,Taylor,19,Lodger,Divorced,Female,University Student,None,Christian
92,Elliott Lane,Sylvia,Hussain,71,Head,Divorced,Female,"Retired Designer, fashion/clothing",None,None
93,Elliott Lane,Alison,Walker,71,Head,Married,Female,"Retired Designer, jewellery",None,Christian
93,Elliott Lane,Russell,Walker,68,Husband,Married,Male,Retired Exhibition designer,None,Christian
94,Elliott Lane,James,Jenkins,41,Head,Single,Male,Unemployed,None,Christian
94,Elliott Lane,Nicole,Howells,37,Partner,Single,Female,Network engineer,None,Christian
95,Elliott Lane,Gail,Akhtar,78,Head,Married,Female,Retired Geophysical data processor,None,Catholic
95,Elliott Lane,Alexander,Akhtar,77,Husband,Married,Male,Retired Field trials officer,None,Catholic
96,Elliott Lane,Henry,Phillips,70,Head,Divorced,Male,Retired Brewing technologist,None,Christian
97,Elliott Lane,Nicola,Evans,72,Head,Widowed,Female,Retired Magazine features editor,None,None
98,Elliott Lane,Kenneth,Hussain,40,Head,Divorced,Male,Software engineer,None,Christian
99,Elliott Lane,Aimee,Ward,45,Head,Single,Female,"Civil engineer, contracting",None,Christian
100,Elliott Lane,Edward,Edwards,21,Head,Divorced,Male,University Student,None,None
101,Elliott Lane,Alison,McDonald,49,Head,Married,Female,Local government officer,None,None
101,Elliott Lane,Lee,McDonald,49,Husband,Married,Male,Estate agent,None,None
101,Elliott Lane,Yvonne,McDonald,15,Daughter,NA,Female,Student,None,NA
102,Elliott Lane,Gemma,Williams,38,Head,Married,Female,Photographer,None,None
102,Elliott Lane,Christopher,Williams,42,Husband,Married,Male,Advertising copywriter,None,None
102,Elliott Lane,Sian,Williams,14,Daughter,NA,Female,Student,None,NA
103,Elliott Lane,Rita,Bennett,31,Head,Single,Female,Electrical engineer,None,None
104,Elliott Lane,Lisa,Banks,30,Head,Single,Female,Clinical research associate,None,Christian
105,Elliott Lane,Jacqueline,Khan,68,Head,Widowed,Female,Retired IT technical support officer,None,Christian
106,Elliott Lane,Shaun,Thorpe,57,Head,Single,Male,Air broker,None,Methodist
107,Elliott Lane,Carole,Evans,42,Head,Divorced,Female,Sales executive,None,Christian
107,Elliott Lane,Jay,Evans,12,Son,NA,Male,Student,None,NA
107,Elliott Lane,Jonathan,Evans,4,Son,NA,Male,Child,None,NA
108,Elliott Lane,Carolyn,Shah,71,Head,Widowed,Female,"Retired Engineer, building services",None,None
109,Elliott Lane,Alexandra,Griffiths,50,Head,Married,Female,Charity officer,None,None
109,Elliott Lane,Denis,Griffiths,52,Husband,Married,Male,Unemployed,None,None
109,Elliott Lane,Sian,Griffiths,20,Daughter,Single,Female,University Student,None,None
109,Elliott Lane,Barbara,Griffiths,17,Daughter,NA,Female,Student,None,NA
110,Elliott Lane,Megan,Roberts,34,Head,Single,Female,"Designer, multimedia",None,None
111,Elliott Lane,Rebecca,Parker,85,Head,Married,Female,Retired Government social research officer,None,Catholic
111,Elliott Lane,Kieran,Parker,87,Husband,Married,Male,Retired Firefighter,None,None
112,Elliott Lane,Geoffrey,Mills,85,Head,Widowed,Male,Retired Farm manager,None,Christian
113,Elliott Lane,Lauren,Brown-Clark,84,Head,Married,Female,Retired Research scientist (medical),None,Christian
113,Elliott Lane,Alexander,Brown-Clark,86,Husband,Married,Male,Retired Naval architect,None,None
114,Elliott Lane,Tracy,Day,33,Head,Divorced,Female,Unemployed,None,Methodist
115,Elliott Lane,Mark,Chan,70,Head,Widowed,Male,Retired Contracting civil engineer,None,None
116,Elliott Lane,Andrea,Williams,49,Head,Single,Female,Forensic scientist,None,Catholic
117,Elliott Lane,Shane,Patel,28,Head,Single,Male,Oceanographer,None,Catholic
117,Elliott Lane,Diane,Stanley,46,None,Single,Female,Fisheries officer,None,Catholic
117,Elliott Lane,Dennis,Lee,64,None,Single,Male,Accommodation manager,None,None
118,Elliott Lane,Geoffrey,Hammond,71,Head,Married,Male,Retired Armed forces technical officer,None,None
118,Elliott Lane,Ellie,Hammond,74,Wife,Married,Female,"Retired Buyer, retail",None,None
119,Elliott Lane,Ruth,Khan,39,Head,Divorced,Female,Secretary/administrator,None,None
119,Elliott Lane,Jessica,Khan,10,Daughter,NA,Female,Student,None,NA
120,Elliott Lane,Frances,Robinson,52,Head,Single,Female,"Conservation officer, historic buildings",None,None
121,Elliott Lane,Alice,Evans,48,Head,Single,Female,Technical author,None,Christian
122,Elliott Lane,Josephine,Henry,45,Head,Married,Female,Advertising copywriter,None,None
122,Elliott Lane,Dennis,Henry,47,Husband,Married,Male,Scientific laboratory technician,None,None
122,Elliott Lane,Jean,Henry,15,Daughter,NA,Female,Student,None,NA
123,Elliott Lane,Joel,Hall,42,Head,Single,Male,Theatre manager,None,None
124,Elliott Lane,Anna,Williams,80,Head,Widowed,Female,"Retired Scientist, forensic",None,None
125,Elliott Lane,Arthur,Reynolds,39,Head,Married,Male,Chartered legal executive (England and Wales),None,None
125,Elliott Lane,Marilyn,Reynolds,37,Wife,Married,Female,Visual merchandiser,None,None
125,Elliott Lane,Andrea,Reynolds,11,Daughter,NA,Female,Student,None,NA
126,Elliott Lane,Kim,Jones,54,Head,Divorced,Female,Advertising account executive,None,Christian
127,Elliott Lane,Kathleen,Richards,25,Head,Single,Female,Educational psychologist,None,None
127,Elliott Lane,Dennis,Watson,27,Partner,Single,Male,Comptroller,None,None
128,Elliott Lane,Jill,Price,32,Head,Single,Female,Art gallery manager,None,Christian
129,Elliott Lane,Laura,Taylor,89,Head,Divorced,Female,Retired Tourist information centre manager,None,Christian
130,Elliott Lane,Aimee,Knowles,58,Head,Single,Female,Civil Service administrator,None,Catholic
131,Elliott Lane,Anne,Marsh,33,Head,Married,Female,Orthoptist,None,Catholic
131,Elliott Lane,Max,Marsh-Brown,37,Husband,Married,Male,Theatre manager,None,Catholic
131,Elliott Lane,Emily,Tucker,16,Daughter,NA,Female,Student,None,NA
131,Elliott Lane,Teresa,Tucker,14,Daughter,NA,Female,Student,None,NA
132,Elliott Lane,Ben,Chapman,30,Head,Married,Male,Catering manager,None,Methodist
132,Elliott Lane,Pauline,Chapman,32,Wife,Married,Female,Furniture conservator/restorer,None,Methodist
133,Elliott Lane,Jean,Patterson,30,Head,Divorced,Female,Outdoor activities/education manager,None,None
133,Elliott Lane,Lawrence,Patterson,0,Son,NA,Male,Child,None,NA
134,Elliott Lane,Helen,Hall,20,Head,Single,Female,University Student,None,None
135,Elliott Lane,Dorothy,Lord,38,Head,Single,Female,Astronomer,None,None
136,Elliott Lane,Hugh,Begum,74,Head,Widowed,Male,"Retired Lighting technician, broadcasting/film/video",None,Christian
137,Elliott Lane,Frances,Hunter,21,Head,Single,Female,University Student,None,None
138,Elliott Lane,Margaret,Lewis,29,Head,Single,Female,"Chemist, analytical",None,None
139,Elliott Lane,Richard,Mann,66,Head,Divorced,Male,Sports administrator,None,Methodist
140,Elliott Lane,Jenna,Waters,50,Head,Single,Female,Unemployed,None,Methodist
140,Elliott Lane,Amanda,Hayes,15,Daughter,NA,Female,Student,None,NA
140,Elliott Lane,Ashley,Hayes,12,Son,NA,Male,Student,None,NA
141,Elliott Lane,Jeremy,Fletcher,24,Head,Single,Male,Best boy,None,Catholic
142,Elliott Lane,Joel,Davis,52,Head,Married,Male,Planning and development surveyor,None,Christian
142,Elliott Lane,Charlotte,Davis,47,Wife,Married,Female,"Teacher, special educational needs",None,None
143,Elliott Lane,Benjamin,Sharp,47,Head,Married,Male,Paramedic,Deaf,None
143,Elliott Lane,Jemma,Sharp,46,Wife,Married,Female,Metallurgist,None,None
144,Elliott Lane,Charlie,Morgan,25,Head,Married,Male,Orthoptist,None,Christian
144,Elliott Lane,Sandra,Morgan,21,Wife,Married,Female,University Student,None,None
145,Elliott Lane,Jayne,Arnold,71,Head,Married,Female,Retired Advertising account executive,None,Christian
145,Elliott Lane,George,West,73,Husband,Married,Male,Retired Fitness centre manager,None,Christian
146,Elliott Lane,Gemma,Gregory,54,Head,Divorced,Female,Metallurgist,None,Christian
146,Elliott Lane,Antony,Gregory,19,Son,Single,Male,University Student,None,Christian
147,Elliott Lane,Denise,Howells,76,Head,Widowed,Female,"Retired Engineer, maintenance",None,Methodist
148,Elliott Lane,Beverley,Johnson,18,Head,Single,Female,Student,None,NA
149,Elliott Lane,Josh,Watson,20,Head,Single,Male,University Student,None,None
149,Elliott Lane,Karen,Heath,20,None,Single,Female,University Student,None,None
150,Elliott Lane,Alice,Thomas,83,Head,Divorced,Female,Retired Production manager,None,Christian
151,Elliott Lane,Linda,King,84,Head,Widowed,Female,Retired Insurance underwriter,None,Christian
1,Duchesshatch Avenue,Annette,Porter,45,Head,Married,Female,"Merchandiser, retail",None,Catholic
1,Duchesshatch Avenue,Gregory,Porter,43,Husband,Married,Male,Unemployed,None,None
1,Duchesshatch Avenue,Vincent,Porter,19,Son,Single,Male,University Student,None,None
2,Duchesshatch Avenue,Jenna,Short,44,Head,Married,Female,Legal secretary,None,None
2,Duchesshatch Avenue,Francis,Short,42,Husband,Married,Male,Environmental consultant,None,None
2,Duchesshatch Avenue,Nigel,Wilson,14,Step-Son,NA,Male,Student,None,NA
3,Duchesshatch Avenue,Brenda,Gibson,19,Head,Married,Female,University Student,None,Catholic
3,Duchesshatch Avenue,Roy,Gibson,27,Husband,Married,Male,Retail merchandiser,None,Catholic
4,Duchesshatch Avenue,Nicholas,Lane,79,Head,Married,Male,"Retired Psychologist, prison and probation services",None,Methodist
4,Duchesshatch Avenue,Angela,Lane,69,Wife,Married,Female,"Retired Engineer, drilling",None,Methodist
4,Duchesshatch Avenue,Barry,Lane,15,Grandson,NA,Male,Student,None,NA
5,Duchesshatch Avenue,Megan,Khan,36,Head,Divorced,Female,Horticultural therapist,None,Christian
5,Duchesshatch Avenue,Conor,Khan,11,Son,NA,Male,Student,None,NA
5,Duchesshatch Avenue,Ashleigh,Khan,11,Daughter,NA,Female,Student,None,NA
6,Duchesshatch Avenue,Susan,Humphries,46,Head,Married,Female,Financial controller,None,None
6,Duchesshatch Avenue,Neil,Humphries-Turner,47,Husband,Married,Male,"Nurse, adult",None,None
6,Duchesshatch Avenue,Kirsty,Humphries-Turner,14,Daughter,NA,Female,Student,None,NA
7,Duchesshatch Avenue,Mohammad,Marshall,53,Head,Single,Male,Environmental manager,None,Methodist
7,Duchesshatch Avenue,Irene,Marshall,10,Daughter,NA,Female,Student,None,NA
7,Duchesshatch Avenue,Kate,Marshall,10,Daughter,NA,Female,Student,Physical Disability,NA
7,Duchesshatch Avenue,Kelly,Marshall,9,Daughter,NA,Female,Student,None,NA
8,Duchesshatch Avenue,Bethan,Henderson,60,Head,Single,Female,"Surveyor, building control",None,None
8,Duchesshatch Avenue,Ian,Freeman,33,None,Single,Male,"Administrator, Civil Service",None,Christian
9,Duchesshatch Avenue,Sophie,Marshall,46,Head,Single,Female,Town planner,None,None
9,Duchesshatch Avenue,Duncan,Marshall,26,Son,Single,Male,"Psychotherapist, child",None,None
9,Duchesshatch Avenue,Claire,Marshall,23,Daughter,Single,Female,"Teacher, early years/pre",None,None
10,Duchesshatch Avenue,Colin,Walker,64,Head,Married,Male,"Scientist, research (maths)",None,Christian
10,Duchesshatch Avenue,Eleanor,Walker,61,Wife,Married,Female,"Surveyor, building",None,None
10,Duchesshatch Avenue,Julie,Hughes-Walker,15,Granddaughter,NA,Female,Student,None,NA
10,Duchesshatch Avenue,Garry,Connolly,11,Grandson,NA,Male,Student,None,NA
11,Duchesshatch Avenue,Elliott,Bartlett,35,Head,Widowed,Male,Police officer,None,None
11,Duchesshatch Avenue,Shannon,Hicks,64,None,Single,Female,"Designer, fashion/clothing",None,None
11,Duchesshatch Avenue,Suzanne,Cook,58,None,Single,Female,Archaeologist,None,Christian
11,Duchesshatch Avenue,Roy,Price,48,None,Single,Male,Audiological scientist,None,None
12,Duchesshatch Avenue,Wayne,Bell,36,Head,Married,Male,Clinical research associate,None,Methodist
12,Duchesshatch Avenue,Samantha,Bell,34,Wife,Married,Female,"Designer, exhibition/display",None,None
12,Duchesshatch Avenue,Joanna,Bell,1,Daughter,NA,Female,Child,None,NA
12,Duchesshatch Avenue,Beverley,Saunders,22,Lodger,Single,Female,University Student,None,None
12,Duchesshatch Avenue,Gavin,Jones,62,Lodger,Divorced,Male,Probation officer,Mental Disability,Christian
12,Duchesshatch Avenue,Stanley,Clarke,49,Cousin,Single,Male,Special effects artist,None,None
12,Duchesshatch Avenue,Timothy,King,44,Cousin,Single,Male,"Surveyor, mining",None,Methodist
13,Duchesshatch Avenue,Elliot,Edwards,61,Head,Single,Male,Planning and development surveyor,None,None
14,Duchesshatch Avenue,Joan,Cole,36,Head,Single,Female,Unemployed,None,Christian
14,Duchesshatch Avenue,Lewis,Graham,43,None,Single,Male,IT sales professional,None,Christian
14,Duchesshatch Avenue,Suzanne,Jones,46,None,Single,Female,"Surveyor, mining",None,None
15,Duchesshatch Avenue,Andrea,Smith,67,Head,Married,Female,Accommodation manager,None,Methodist
15,Duchesshatch Avenue,Gareth,Smith,65,Husband,Married,Male,"Presenter, broadcasting",None,Methodist
15,Duchesshatch Avenue,Claire,Smith,35,Daughter,Single,Female,Cytogeneticist,None,Methodist
15,Duchesshatch Avenue,Iain,Smith,32,Son,Single,Male,"Solicitor, Scotland",None,None
16,Duchesshatch Avenue,Carole,Cross,67,Head,Married,Female,"Copywriter, advertising",None,Christian
16,Duchesshatch Avenue,Justin,Cross,75,Husband,Married,Male,"Retired Programmer, systems",None,Christian
16,Duchesshatch Avenue,Georgina,Cross,36,Daughter,Single,Female,Secondary school teacher,None,Christian
16,Duchesshatch Avenue,Darren,Kent-Cross,33,Son,Single,Male,Private music teacher,None,Christian
16,Duchesshatch Avenue,Henry,Kent-Cross,32,Son,Single,Male,Chartered legal executive (England and Wales),None,Christian
17,Duchesshatch Avenue,Jean,Rees,37,Head,Single,Female,Marketing executive,None,Catholic
17,Duchesshatch Avenue,Abdul,Mason,56,None,Single,Male,"Engineer, biomedical",None,Christian
17,Duchesshatch Avenue,Sylvia,Holmes,36,None,Single,Female,Copy,None,Christian
18,Duchesshatch Avenue,Sylvia,Hawkins,26,Head,Married,Female,Landscape architect,None,Catholic
18,Duchesshatch Avenue,Keith,Hawkins,27,Husband,Married,Male,"Scientist, research (physical sciences)",None,Catholic
18,Duchesshatch Avenue,Jeffrey,Lee,45,Lodger,Single,Male,"Presenter, broadcasting",None,Christian
19,Duchesshatch Avenue,Stacey,Mills,45,Head,Married,Female,Unemployed,None,Catholic
19,Duchesshatch Avenue,Joel,Mills,46,Husband,Married,Male,Air traffic controller,None,Catholic
19,Duchesshatch Avenue,Marie,Mills,10,Daughter,NA,Female,Student,None,NA
19,Duchesshatch Avenue,Zoe,Mills,7,Daughter,NA,Female,Student,None,NA
19,Duchesshatch Avenue,Roy,Mills,3,Son,NA,Male,Child,None,NA
20,Duchesshatch Avenue,Graeme,Payne,22,Head,Single,Male,University Student,None,None
20,Duchesshatch Avenue,Grace,Kirby,20,None,Single,Female,University Student,None,None
20,Duchesshatch Avenue,Scott,Hall,18,None,Single,Male,Student,None,NA
21,Duchesshatch Avenue,Samantha,Brown,34,Head,Married,Female,Careers adviser,None,None
21,Duchesshatch Avenue,Bernard,Brown,31,Husband,Married,Male,Unemployed,None,None
21,Duchesshatch Avenue,Ben,Brown,2,Son,NA,Male,Child,None,NA
22,Duchesshatch Avenue,Sharon,Smith,58,Head,Married,Female,Interpreter,None,Christian
22,Duchesshatch Avenue,Billy,Smith,58,Husband,Married,Male,Lobbyist,None,Christian
22,Duchesshatch Avenue,Martin,Bell-Smith,43,Son,Single,Male,Museum/gallery curator,None,Christian
22,Duchesshatch Avenue,Tony,Bell-Smith,42,Son,Single,Male,Unemployed,None,Christian
22,Duchesshatch Avenue,Ross,Bell-Smith,40,Son,Single,Male,"Doctor, hospital",None,None
23,Duchesshatch Avenue,Jean,Parker,39,Head,Widowed,Female,Magazine features editor,None,None
23,Duchesshatch Avenue,Craig,Parker,14,Son,NA,Male,Student,None,NA
24,Duchesshatch Avenue,Rebecca,Smith,45,Head,Divorced,Female,Unemployed,None,None
24,Duchesshatch Avenue,Harry,Smith,18,Son,Single,Male,Student,None,None
24,Duchesshatch Avenue,Liam,Smith,12,Son,NA,Male,Student,None,NA
25,Duchesshatch Avenue,Gail,Atkinson,48,Head,Divorced,Female,"Doctor, general practice",None,None
25,Duchesshatch Avenue,Christine,Atkinson,11,Daughter,NA,Female,Student,None,NA
25,Duchesshatch Avenue,Elaine,Atkinson,8,Daughter,NA,Female,Student,None,NA
26,Duchesshatch Avenue,Craig,John,69,Head,Married,Male,"Retired Research officer, government",None,Methodist
26,Duchesshatch Avenue,Kimberley,John,63,Wife,Married,Female,Radio producer,None,Methodist
26,Duchesshatch Avenue,Rosie,John,18,Granddaughter,Single,Female,Student,None,Methodist
26,Duchesshatch Avenue,Patricia,Wilson,15,Granddaughter,NA,Female,Student,None,NA
27,Duchesshatch Avenue,Anne,Marshall,36,Head,Single,Female,Diagnostic radiographer,None,Catholic
27,Duchesshatch Avenue,Justin,Thomas,39,None,Single,Male,Unemployed,None,Methodist
27,Duchesshatch Avenue,Douglas,Pugh,50,None,Single,Male,Product manager,None,None
27,Duchesshatch Avenue,Maureen,Clarke,42,None,Single,Female,Translator,None,Christian
28,Duchesshatch Avenue,Guy,North,77,Head,Married,Male,Retired Environmental health practitioner,None,None
28,Duchesshatch Avenue,Dorothy,North,78,Wife,Married,Female,Retired Mudlogger,None,None
29,Duchesshatch Avenue,Abigail,Jones,51,Head,Single,Female,"Sound technician, broadcasting/film/video",None,Christian
29,Duchesshatch Avenue,Max,Jones,21,Son,Single,Male,Unemployed,None,Christian
29,Duchesshatch Avenue,Ross,Jones,19,Son,Single,Male,University Student,None,None
30,Duchesshatch Avenue,Gregory,Harvey,36,Head,Single,Male,Unemployed,None,Christian
30,Duchesshatch Avenue,Lesley,Harvey,16,Daughter,NA,Female,Student,None,NA
30,Duchesshatch Avenue,Marcus,Clarke-Harvey,14,Son,NA,Male,Student,None,NA
1,Ahmed Spur,Conor,Price,19,Head,Single,Male,University Student,None,Muslim
2,Ahmed Spur,Julie,Johnson,31,Head,Single,Female,Unemployed,None,None
2,Ahmed Spur,Eileen,Patterson,61,None,Single,Female,Nutritional therapist,None,Christian
3,Ahmed Spur,Patrick,Watts,18,Head,Single,Male,University Student,None,Methodist
3,Ahmed Spur,Thomas,Mills,18,None,Single,Male,University Student,None,None
4,Ahmed Spur,Suzanne,Smith,32,Head,Single,Female,Phytotherapist,None,None
4,Ahmed Spur,Sara,Smith,1,Daughter,NA,Female,Child,None,NA
4,Ahmed Spur,Jodie,Howe,35,Lodger,Single,Female,"Therapist, drama",None,Christian
5,Ahmed Spur,Barry,Parkes,20,Head,Single,Male,University Student,None,None
6,Ahmed Spur,Carolyn,Smith,60,Head,Single,Female,Catering manager,None,None
7,Ahmed Spur,Jenna,Atkinson,19,Head,Married,Female,University Student,None,Catholic
7,Ahmed Spur,Daniel,Atkinson,19,Husband,Married,Male,University Student,None,None
8,Ahmed Spur,Justin,Wilson,41,Head,Married,Male,Land,None,Methodist
8,Ahmed Spur,Katy,Wilson,39,Wife,Married,Female,Armed forces operational officer,None,Methodist
8,Ahmed Spur,Holly,Wilson,6,Daughter,NA,Female,Student,None,NA
9,Ahmed Spur,Joan,Collier,49,Head,Single,Female,Early years teacher,None,None
1,Anvilgain Road,Damien,Shah,77,Head,Widowed,Male,Retired Personnel officer,None,None
2,Anvilgain Road,Katie,Hussain,47,Head,Single,Female,Television camera operator,None,None
3,Anvilgain Road,Toby,Allen,26,Head,Married,Male,Immunologist,None,Catholic
3,Anvilgain Road,Caroline,Allen,21,Wife,Married,Female,University Student,None,Catholic
4,Anvilgain Road,Valerie,Barnes,44,Head,Single,Female,Chief Strategy Officer,None,Catholic
5,Anvilgain Road,Connor,Fox,39,Head,Married,Male,"Engineer, agricultural",None,Catholic
5,Anvilgain Road,Natalie,Fox,34,Wife,Married,Female,Automotive engineer,None,Catholic
5,Anvilgain Road,Neil,Fox,16,Son,NA,Male,Student,None,NA
6,Anvilgain Road,Terry,Wood,73,Head,Divorced,Male,Retired Oceanographer,None,Christian
7,Anvilgain Road,Chloe,Jenkins,36,Head,Single,Female,Unemployed,None,None
8,Anvilgain Road,Charlotte,Jones,63,Head,Single,Female,Building control surveyor,None,Muslim
8,Anvilgain Road,Terry,Hurst,44,None,Single,Male,Site engineer,None,None
9,Anvilgain Road,Dawn,Chambers,63,Head,Single,Female,Communications engineer,None,Christian
9,Anvilgain Road,Christopher,Faulkner,6,Grandson,NA,Male,Student,None,NA
10,Anvilgain Road,Jade,Harris,72,Head,Widowed,Female,Retired Dietitian,None,None
11,Anvilgain Road,Hollie,Hartley,82,Head,Divorced,Female,Retired Garment/textile technologist,None,Christian
12,Anvilgain Road,Dawn,Murphy,52,Head,Married,Female,"Psychotherapist, child",None,None
12,Anvilgain Road,Eric,Murphy,54,Husband,Married,Male,Aeronautical engineer,None,None
12,Anvilgain Road,Alexandra,Murphy,12,Daughter,NA,Female,Student,None,NA
13,Anvilgain Road,Paula,Glover,43,Head,Divorced,Female,Archaeologist,None,Jewish
14,Anvilgain Road,Cheryl,Rice,52,Head,Widowed,Female,Unemployed,None,Methodist
15,Anvilgain Road,Katie,Jones,68,Head,Widowed,Female,"Retired Lecturer, further education",None,None
16,Anvilgain Road,Kirsty,Holloway,49,Head,Married,Female,Warehouse manager,None,Methodist
16,Anvilgain Road,Marc,Holloway,50,Husband,Married,Male,"Solicitor, Scotland",None,Methodist
16,Anvilgain Road,Ruth,Holloway,5,Adopted Daughter,NA,Female,Student,None,NA
17,Anvilgain Road,Dominic,George,69,Head,Widowed,Male,Retired Copy,None,Christian
18,Anvilgain Road,Olivia,Whittaker,82,Head,Divorced,Female,Retired Television floor manager,None,None
19,Anvilgain Road,Aaron,Allen,81,Head,Married,Male,Retired Occupational therapist,None,Christian
19,Anvilgain Road,Rosemary,Allen,83,Wife,Married,Female,Retired Public relations officer,None,None
20,Anvilgain Road,Hayley,Khan,44,Head,Single,Female,Equities trader,None,Christian
20,Anvilgain Road,Rachael,Khan,0,Daughter,NA,Female,Child,None,NA
21,Anvilgain Road,Darren,Knight,38,Head,Married,Male,"Therapist, occupational",None,None
21,Anvilgain Road,Ann,Knight,38,Wife,Married,Female,Unemployed,None,None
21,Anvilgain Road,Bryan,Knight,1,Son,NA,Male,Child,None,NA
22,Anvilgain Road,Marion,Carey,73,Head,Divorced,Female,Retired Tax adviser,None,Christian
23,Anvilgain Road,Abdul,White,63,Head,Divorced,Male,Geographical information systems officer,None,None
24,Anvilgain Road,Jade,Gill,38,Head,Single,Female,"Engineer, control and instrumentation",None,None
25,Anvilgain Road,Jenna,Ryan,75,Head,Married,Female,Retired Research scientist (medical),None,Christian
25,Anvilgain Road,Marcus,Ryan,76,Husband,Married,Male,Retired Museum education officer,None,Christian
25,Anvilgain Road,Anna,Parker,4,Granddaughter,NA,Female,Child,None,NA
26,Anvilgain Road,Rosie,Thomas,77,Head,Single,Female,Retired Quantity surveyor,None,None
27,Anvilgain Road,Richard,Grant,50,Head,Divorced,Male,Unemployed,None,Catholic
27,Anvilgain Road,Hugh,Grant,28,Son,Divorced,Male,Electrical engineer,None,Catholic
28,Anvilgain Road,Ryan,Gibbs,81,Head,Widowed,Male,Retired Data processing manager,None,None
29,Anvilgain Road,Alice,Cole,74,Head,Married,Female,Retired Landscape architect,None,Methodist
29,Anvilgain Road,Arthur,Cole,81,Husband,Married,Male,Retired Exercise physiologist,None,None
30,Anvilgain Road,Holly,Morley,51,Head,Single,Female,Hotel manager,None,Christian
31,Anvilgain Road,Gerald,Edwards,61,Head,Single,Male,"Engineer, drilling",None,Catholic
32,Anvilgain Road,Owen,Hughes,55,Head,Single,Male,Quantity surveyor,None,Christian
32,Anvilgain Road,Karl,Davis,40,None,Single,Male,"Pilot, airline",None,Methodist
